Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ACTB	gene	ACTB	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Baraitser-Winter syndrome 1 (MIM#243310)			Abnormal cerebral cortex morphology;HP:0002538	29671837;22366783		False	3	100;0;0	4.69	True		ENSG00000075624	ENSG00000075624	HGNC:132													
ACTG1	gene	ACTG1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Baraitser-Winter syndrome 2 (MIM#614583)			Abnormal cerebral cortex morphology;HP:0002538	29671837;27240540;25052316		False	3	100;0;0	4.69	True		ENSG00000184009	ENSG00000184009	HGNC:144													
ADGRG1	gene	ADGRG1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Polymicrogyria, bilateral frontoparietal, MIM#606854			Abnormal cerebral cortex morphology;HP:0002538	16240336		False	3	100;0;0	4.69	True		ENSG00000205336	ENSG00000205336	HGNC:4512													
AKT3	gene	AKT3	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2, MIM# 615937			Abnormal cerebral cortex morphology;HP:0002538	22729224;22729223;32446860;31441589		False	3	100;0;0	4.69	True	Other	ENSG00000117020	ENSG00000117020	HGNC:393													
AKT3	gene	AKT3	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2 (MIM#615937)			Abnormal cerebral cortex morphology;HP:0002538	28969385		False	3	100;0;0	4.69	True		ENSG00000117020	ENSG00000117020	HGNC:393													
APC2	gene	APC2	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Cortical dysplasia, complex, with other brain malformations 10, MIM#618677			Abnormal cerebral cortex morphology;HP:0002538	31585108		False	3	100;0;0	4.69	True		ENSG00000115266	ENSG00000115266	HGNC:24036													
ARF1	gene	ARF1	Expert Review Green;Expert list	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Periventricular nodular heterotopia 8, MIM#	618185"			Abnormal cerebral cortex morphology;HP:0002538	28868155		False	3	100;0;0	4.69	True		ENSG00000143761	ENSG00000143761	HGNC:652													
ARFGEF2	gene	ARFGEF2	Expert Review Green;Australian Genomics Health Alliance Brain Malformation Flagship;Victorian Clinical Genetics Services	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Periventricular heterotopia with microcephaly (MIM#608097)			Abnormal cerebral cortex morphology;HP:0002538	25160555;26126837;23812912		False	3	100;0;0	4.69	True		ENSG00000124198	ENSG00000124198	HGNC:15853													
ARX	gene	ARX	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	Unknown				Abnormal cerebral cortex morphology;HP:0002538			False	3	0;0;0	4.69	False		ENSG00000004848	ENSG00000004848	HGNC:18060													
ARX	gene	ARX	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Lissencephaly, X-linked 2, MIM# 300215			Abnormal cerebral cortex morphology;HP:0002538	14722918		False	3	100;0;0	4.69	True		ENSG00000004848	ENSG00000004848	HGNC:18060													
ASPM	gene	ASPM	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	"Microcephaly 5, primary, autosomal recessive	(MIM#608716)"			Abnormal cerebral cortex morphology;HP:0002538	18452193;19332161;19770472;27250695		False	3	100;0;0	4.69	True		ENSG00000066279	ENSG00000066279	HGNC:19048													
ATP1A2	gene	ATP1A2	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	"Fetal akinesia, respiratory insufficiency, microcephaly, polymicrogyria, and dysmorphic facies, MIM# 619602;Developmental and epileptic encephalopathy 98	, MIM#619605"			Abnormal cerebral cortex morphology;HP:0002538	31608932;33880529		False	3	100;0;0	4.69	True		ENSG00000018625	ENSG00000018625	HGNC:800													
ATP1A3	gene	ATP1A3	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Polymicrogyria;epilepsy;developmental delay			Abnormal cerebral cortex morphology;HP:0002538	33762331;33880529		False	3	100;0;0	4.69	True		ENSG00000105409	ENSG00000105409	HGNC:801													
B3GALNT2	gene	B3GALNT2	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11, MIM# 615181			Abnormal cerebral cortex morphology;HP:0002538	23453667		False	3	100;0;0	4.69	True		ENSG00000162885	ENSG00000162885	HGNC:28596													
B4GAT1	gene	B4GAT1	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13 MIM# 615287			Abnormal cerebral cortex morphology;HP:0002538	23359570;23877401;23359570;23217742		False	3	50;50;0	4.69	True		ENSG00000174684	ENSG00000174684	HGNC:15685													
BICD2	gene	BICD2	Expert Review Green;Victorian Clinical Genetics Services;Australian Genomics Health Alliance Brain Malformations Flagship	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Spinal muscular atrophy, lower extremity-predominant, 2B. MIM: 618291			Abnormal cerebral cortex morphology;HP:0002538	28635954;32057122		False	3	100;0;0	4.69	True		ENSG00000185963	ENSG00000185963	HGNC:17208													
CAMSAP1	gene	CAMSAP1	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Cortical dysplasia, complex, with other brain malformations 12, MIM# 620316			Abnormal cerebral cortex morphology;HP:0002538	36283405		False	3	100;0;0	4.69	True		ENSG00000130559	ENSG00000130559	HGNC:19946													
CASP2	gene	CASP2	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Intellectual developmental disorder, autosomal recessive 80, with variant lissencephaly, MIM# 620653			Abnormal cerebral cortex morphology;HP:0002538	PMID: 37880421		False	3	100;0;0	4.69	True		ENSG00000106144	ENSG00000106144	HGNC:1503													
CCND2	gene	CCND2	Expert Review Green;Expert list	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3 MIM#615938			Abnormal cerebral cortex morphology;HP:0002538	24705253		False	3	100;0;0	4.69	True	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000118971	ENSG00000118971	HGNC:1583													
CEP85L	gene	CEP85L	Expert Review Green;Literature	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Lissencephaly, posterior predominant			Abnormal cerebral cortex morphology;HP:0002538	32097630		False	3	100;0;0	4.69	True		ENSG00000111860	ENSG00000111860	HGNC:21638													
CNTNAP2	gene	CNTNAP2	Expert Review Green;Expert Review	Malformations of cortical development_Superpanel		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Cortical dysplasia-focal epilepsy syndrome, MIM# 610042			Abnormal cerebral cortex morphology;HP:0002538	16571880;19896112;27439707		False	3	100;0;0	4.69	True		ENSG00000174469	ENSG00000174469	HGNC:13830													
