Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
AAAS	gene	AAAS	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Achalasia-addisonianism-alacrimia syndrome, MIM#231550			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758			False	3	100;0;0	1.83	True		ENSG00000094914	ENSG00000094914	HGNC:13666													
AARS	gene	AARS	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Epileptic encephalopathy, early infantile, 29, MIM# 616339			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	28493438;25817015		False	3	100;0;0	1.83	True		ENSG00000090861	ENSG00000090861	HGNC:20													
ABAT	gene	ABAT	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	GABA-transaminase deficiency, MIM#613163			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	10407778;20052547;27596361;28411234,		False	3	0;0;0	1.83	True		ENSG00000183044	ENSG00000183044	HGNC:23													
ABCA2	gene	ABCA2	Expert Review Green;Literature	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Intellectual developmental disorder with poor growth and with or without seizures or ataxia, 618808			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	30237576;29302074;31047799		False	3	100;0;0	1.83	True		ENSG00000107331	ENSG00000107331	HGNC:32													
ABCC9	gene	ABCC9	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Intellectual disability and myopathy syndrome, MIM# 619719;Hypertrichotic osteochondrodysplasia, MIM# 239850 Cantu syndrome			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758			False	3	100;0;0	1.83	True		ENSG00000069431	ENSG00000069431	HGNC:60													
ABCD1	gene	ABCD1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Adrenoleukodystrophy, MIM# 300100			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758			False	3	100;0;0	1.83	True		ENSG00000101986	ENSG00000101986	HGNC:61													
ABCD4	gene	ABCD4	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Methylmalonic aciduria and homocystinuria, cblJ type, MIM# 614857			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	22922874;31113616;30651581;28572511;33729671		False	3	100;0;0	1.83	True		ENSG00000119688	ENSG00000119688	HGNC:68													
ABHD16A	gene	ABHD16A	Expert Review Green;Literature	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 86, autosomal recessive, MIM# 619735;Intellectual Disability;Corpus callosum abnormalities			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	PMID: 34587489		False	3	100;0;0	1.83	True		ENSG00000204427	ENSG00000204427	HGNC:13921													
ABHD5	gene	ABHD5	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Chanarin-Dorfman syndrome MIM#275630;neutral lipid storage disease with ichthyosis;non-bullous congenital ichthyosiform erythroderma			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	30795549		False	3	100;0;0	1.83	True		ENSG00000011198	ENSG00000011198	HGNC:21396													
ACAD9	gene	ACAD9	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex I deficiency, nuclear type 20 MIM#611126			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	30025539		False	3	100;0;0	1.83	True		ENSG00000177646	ENSG00000177646	HGNC:21497													
ACADM	gene	ACADM	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Acyl-CoA dehydrogenase, medium chain, deficiency of, MIM# 201450			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758			False	3	100;0;0	1.83	True		ENSG00000117054	ENSG00000117054	HGNC:89													
ACBD6	gene	ACBD6	Expert Review Green;Literature	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with progressive movement abnormalities, MIM# 620785			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	36457943;21937992;35446914		False	3	100;0;0	1.83	True		ENSG00000230124	ENSG00000230124	HGNC:23339													
ACO2	gene	ACO2	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Infantile cerebellar-retinal degeneration, MIM#614559			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	22405087;25351951;30689204;32519519;25351951		False	3	100;0;0	1.83	True		ENSG00000100412	ENSG00000100412	HGNC:118													
ACOX1	gene	ACOX1	Expert Review Green;Genetic Health Queensland	Intellectual disability syndromic and non-syndromic		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Peroxisomal acyl-CoA oxidase deficiency, MIM# 264470;Mitchell syndrome, MIM# 618960			Intellectual disability;HP:0001249; Neurodevelopmental delay;HP:0012758	32169171;17458872		False	3	100;0;0	1.83	True		ENSG00000161533	ENSG00000161533	HGNC:119													
