Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CDON	gene	CDON	Expert Review Green;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Holoprosencephaly 11, MIM# 614226;MONDO:0013642			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	21802063;26529631;26728615;23071453		False	3	100;0;0	1.17	True		ENSG00000064309	ENSG00000064309	HGNC:17104													
DHCR7	gene	DHCR7	Expert list;Expert Review Green;NHS GMS	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	BIALLELIC, autosomal or pseudoautosomal	Smith-Lemli-Opitz syndrome, 270400;alobar holoprosencephaly (HPE)			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	11562938;28805615;20104611;17001700		False	3	100;0;0	1.17	True		ENSG00000172893	ENSG00000172893	HGNC:2860													
DISP1	gene	DISP1	Expert Review Green;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Holoprosencephaly, MONDO:0016296			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	19184110;26748417;23542665;38529886		False	3	50;50;0	1.17	True	Other	ENSG00000154309	ENSG00000154309	HGNC:19711													
FGF8	gene	FGF8	Expert Review Green;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Holoprosencephaly;MONDO:0016296			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	27363716;29584859		False	3	50;50;0	1.17	True		ENSG00000107831	ENSG00000107831	HGNC:3686													
FGFR1	gene	FGFR1	Expert Review Green;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hartsfield syndrome, MIM# 615465			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842			False	3	100;0;0	1.17	True		ENSG00000077782	ENSG00000077782	HGNC:3688													
GLI2	gene	GLI2	Expert Review Green;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Holoprosencephaly 9, MIM# 610829;MONDO:0012563			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	14581620;17096318;33235745;27585885		False	3	100;0;0	1.17	True		ENSG00000074047	ENSG00000074047	HGNC:4318													
HESX1	gene	HESX1	Expert Review Green;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Septooptic dysplasia, MIM# 182230			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842			False	3	100;0;0	1.17	True		ENSG00000163666	ENSG00000163666	HGNC:4877													
KMT2D	gene	KMT2D	Expert Review Green;Literature	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	"Kabuki syndrome 1, MIM#	147920"			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	31846209;31282990;32773771		False	3	100;0;0	1.17	True		ENSG00000167548	ENSG00000167548	HGNC:7133													
PPP1R12A	gene	PPP1R12A	Expert Review Green;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Intellectual disability;holoprosencephaly;disorder of sex development			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	31883643		False	3	100;0;0	1.17	True		ENSG00000058272	ENSG00000058272	HGNC:7618													
PTCH1	gene	PTCH1	Expert Review Green;Victorian Clinical Genetics Services	Holoprosencephaly and septo-optic dysplasia		Neurology and neurodevelopmental disorders	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Holoprosencephaly 7, MIM# 610828			Holoprosencephaly;HP:0001360; Septo-optic dysplasia;HP:0100842	11941477;17001668;29575684		False	3	100;0;0	1.17	True		ENSG00000185920	ENSG00000185920	HGNC:9585													
